"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6439","Header link ""Check Out"" should be visible and clickable","firefox","Sun Aug 24 16:49:26 IST 2025","passed","Sun Aug 24 16:49:33 IST 2025","Header Links Tests","headersTest.spec.js","",""
"","43194","Testing the cart produnct quantity count","webkit","Sun Aug 24 16:52:35 IST 2025","passed","Sun Aug 24 16:53:18 IST 2025","","cartTest.spec.js","",""
"","17287","navigating to gray jacket","webkit","Sun Aug 24 16:54:54 IST 2025","passed","Sun Aug 24 16:55:11 IST 2025","navigation catalog tests","navigationCatalogtest.spec.js","",""
"","8057","aboutus","webkit","Sun Aug 24 16:53:55 IST 2025","passed","Sun Aug 24 16:54:03 IST 2025","About us page","footerTest.spec.js","",""
"","20426","After clicking checkout page it should go to checkout page","webkit","Sun Aug 24 16:52:43 IST 2025","passed","Sun Aug 24 16:53:03 IST 2025","","cartTest.spec.js","",""
"","21533","Verify Pinterest save button works","chromium","Sun Aug 24 16:43:58 IST 2025","passed","Sun Aug 24 16:44:19 IST 2025","Shopify Blog Tests","blogstest.spec.js","",""
"","5332","Homepage loads correctly with title","chromium","Sun Aug 24 16:45:23 IST 2025","passed","Sun Aug 24 16:45:28 IST 2025","","homePageTitle.spec.js","",""
"","12916","[Social] All social media icons should be visible on product page","firefox","Sun Aug 24 16:47:54 IST 2025","passed","Sun Aug 24 16:48:07 IST 2025","Catalog Test Suite","catalog.spec.js","",""
"","29246","User should see correct product info when clicking on Black heels","webkit","Sun Aug 24 16:53:41 IST 2025","passed","Sun Aug 24 16:54:11 IST 2025","Catalog Test Suite","catalog.spec.js","",""
"","24243","Testing the remove button","webkit","Sun Aug 24 16:52:36 IST 2025","passed","Sun Aug 24 16:53:00 IST 2025","","cartTest.spec.js","",""
"","11043","[Navigation] User should be able to navigate to a product page from catalog","firefox","Sun Aug 24 16:49:19 IST 2025","passed","Sun Aug 24 16:49:30 IST 2025","Catalog Test Suite","catalog.spec.js","",""
"","28751","Verify BackPostButton link redirects correctly","firefox","Sun Aug 24 16:46:16 IST 2025","passed","Sun Aug 24 16:46:45 IST 2025","Shopify Blog Tests","blogstest.spec.js","",""
"","9040","Header link ""My Cart"" should be visible and clickable","webkit","Sun Aug 24 16:54:30 IST 2025","passed","Sun Aug 24 16:54:39 IST 2025","Header Links Tests","headersTest.spec.js","",""
"","42119","verify the cart item count when user remove the products","webkit","Sun Aug 24 16:53:00 IST 2025","passed","Sun Aug 24 16:53:42 IST 2025","","cartTest.spec.js","",""
"","10961","Header link ""About Us"" should be visible and clickable","firefox","Sun Aug 24 16:49:43 IST 2025","passed","Sun Aug 24 16:49:54 IST 2025","Header Links Tests","headersTest.spec.js","",""
"","17969","Verify ecommerce blog link opens new tab","chromium","Sun Aug 24 16:43:41 IST 2025","passed","Sun Aug 24 16:43:59 IST 2025","Shopify Blog Tests","blogstest.spec.js","",""
"","11245","[Price Format] Each product should display a valid price with currency","chromium","Sun Aug 24 16:44:55 IST 2025","passed","Sun Aug 24 16:45:07 IST 2025","Catalog Test Suite","catalog.spec.js","",""
"","42869","Header link ""Search"" should be visible and clickable","webkit","Sun Aug 24 16:54:11 IST 2025","passed","Sun Aug 24 16:54:54 IST 2025","Header Links Tests","headersTest.spec.js","",""
"","23845","Homepage loads correctly with title","webkit","Sun Aug 24 16:54:39 IST 2025","passed","Sun Aug 24 16:55:03 IST 2025","","homePageTitle.spec.js","",""
"","7534","Verify BackPostButton link redirects correctly","chromium","Sun Aug 24 16:44:00 IST 2025","passed","Sun Aug 24 16:44:08 IST 2025","Shopify Blog Tests","blogstest.spec.js","",""
"","12482","Search with blank input should show No search message","webkit","Sun Aug 24 16:55:01 IST 2025","passed","Sun Aug 24 16:55:13 IST 2025","","searchTest.spec.js","",""
"","35019","Verify template link opens in new tab","webkit","Sun Aug 24 16:50:53 IST 2025","passed","Sun Aug 24 16:51:28 IST 2025","Shopify Blog Tests","blogstest.spec.js","",""
"","10185","[Price Format] Each product should display a valid price with currency","firefox","Sun Aug 24 16:48:27 IST 2025","passed","Sun Aug 24 16:48:37 IST 2025","Catalog Test Suite","catalog.spec.js","",""
"","12722","Search should handle SQL injection payload safely","webkit","Sun Aug 24 16:55:03 IST 2025","passed","Sun Aug 24 16:55:15 IST 2025","","searchTest.spec.js","",""
